PLAYER NAME,AVG_ROUND_3_SCORING_AVERAGE,TOTAL STROKES_ROUND_3_SCORING_AVERAGE,TOTAL ROUNDS_ROUND_3_SCORING_AVERAGE,YEAR,AVG_SCORING_AVERAGE_BEFORE_CUT,TOTAL STROKES_SCORING_AVERAGE_BEFORE_CUT,TOTAL ROUNDS_SCORING_AVERAGE_BEFORE_CUT,ROUNDS_PUTTING,AVERAGE_PUTTING,TOTAL SG:PUTTING_PUTTING,MEASURED ROUNDS_PUTTING,ROUNDS_OFF-THE-TEE,AVERAGE_OFF-THE-TEE,TOTAL SG:OTT_OFF-THE-TEE,MEASURED ROUNDS_OFF-THE-TEE,ROUNDS_TEE-TO-GREEN,AVERAGE_TEE-TO-GREEN,SG:OTT_TEE-TO-GREEN,SG:APR_TEE-TO-GREEN,SG:ARG_TEE-TO-GREEN,MEASURED ROUNDS_TEE-TO-GREEN,AVG_FINAL_ROUND_SCORING_AVERAGE,TOTAL STROKES_FINAL_ROUND_SCORING_AVERAGE,TOTAL ROUNDS_FINAL_ROUND_SCORING_AVERAGE,ROUNDS_AROUND-THE-GREEN,AVERAGE_AROUND-THE-GREEN,TOTAL SG:ARG_AROUND-THE-GREEN,MEASURED ROUNDS_AROUND-THE-GREEN,ROUNDS_APPROACH-THE-GREEN,AVERAGE_APPROACH-THE-GREEN,TOTAL SG:APP_APPROACH-THE-GREEN,MEASURED ROUNDS_APPROACH-THE-GREEN,TOP 10_TOP_10_FINISHES,1ST_TOP_10_FINISHES,2ND_TOP_10_FINISHES,3RD_TOP_10_FINISHES,MONEY_CAREER_MONEY_LEADERS,RANK_OFFICIAL_WORLD_GOLF_RANKING,ALL-AROUND_RANKING_DIFF,OFFICIAL_WORLD_GOLF_RANKING_DIFF
Christiaan Bezuidenhout,69.44,625,9,2022,69.92,1678,24,43.0,-0.004,-0.097,27.0,43.0,0.227,6.137,27.0,43.0,0.614,0.227,0.136,0.251,27.0,70.33,633.0,9.0,43.0,0.251,6.774,27.0,43.0,0.136,3.665,27.0,0.0,0.0,0.0,0.0,1707435.0,61.0,23.0,-5.780000000000001
Danny Lee,69.5,417,6,2022,70.91,1560,22,32.0,-0.248,-4.959,20.0,32.0,0.026,0.52,20.0,32.0,-0.535,0.026,-0.132,-0.43,20.0,70.8,354.0,5.0,32.0,-0.43,-8.596,20.0,32.0,-0.132,-2.635,20.0,2.0,0.0,1.0,0.0,14748936.0,261.0,-37.0,-0.11000000000000654
Andrew Putnam,69.5,695,10,2022,70.18,2386,34,52.0,0.221,8.616,39.0,52.0,-0.382,-14.91,39.0,52.0,-0.034,-0.382,0.234,0.114,39.0,70.3,703.0,10.0,52.0,0.114,4.458,39.0,52.0,0.234,9.139,39.0,1.0,0.0,0.0,0.0,7954758.0,144.0,82.0,-1.5599999999999952
Robert Streb,69.5,556,8,2022,70.77,2194,31,45.0,0.117,4.323,37.0,45.0,-0.122,-4.508,37.0,45.0,-0.138,-0.122,-0.105,0.089,37.0,70.14,491.0,7.0,45.0,0.089,3.282,37.0,45.0,-0.105,-3.896,37.0,3.0,0.0,0.0,0.0,12530606.0,134.0,-36.0,5.68
Dylan Wu,69.5,556,8,2022,70.29,1968,28,41.0,0.303,7.578,25.0,41.0,-0.21,-5.241,25.0,41.0,-0.215,-0.21,0.108,-0.114,25.0,72.29,506.0,7.0,41.0,-0.114,-2.854,25.0,41.0,0.108,2.711,25.0,0.0,0.0,0.0,0.0,276378.0,371.0,77.0,-0.8200000000000003
Adam Hadwin,69.55,765,11,2022,69.4,2082,30,50.0,0.292,10.506,36.0,50.0,-0.033,-1.196,36.0,50.0,0.925,-0.033,0.612,0.346,36.0,69.64,766.0,11.0,50.0,0.346,12.444,36.0,50.0,0.612,22.039,36.0,4.0,0.0,0.0,0.0,14575297.0,105.0,-93.0,5.969999999999999
Matt Kuchar,69.56,626,9,2022,69.17,1591,23,39.0,0.609,19.476,32.0,39.0,-0.229,-7.337,32.0,39.0,0.235,-0.229,-0.138,0.602,32.0,69.5,556.0,8.0,39.0,0.602,19.252,32.0,39.0,-0.138,-4.412,32.0,2.0,0.0,1.0,0.0,54175440.0,148.0,-108.0,0.8800000000000026
Sebastián Muñoz,69.56,626,9,2022,70.74,1910,27,46.0,-0.449,-15.7,35.0,46.0,0.289,10.115,35.0,46.0,0.448,0.289,0.065,0.093,35.0,71.0,568.0,8.0,46.0,0.093,3.266,35.0,46.0,0.065,2.274,35.0,2.0,0.0,0.0,1.0,7942630.0,64.0,-40.0,-0.18000000000000682
Charles Howell III,69.57,487,7,2022,69.29,1455,21,34.0,-0.141,-3.806,27.0,34.0,0.301,8.12,27.0,34.0,0.792,0.301,0.038,0.453,27.0,70.71,495.0,7.0,34.0,0.453,12.23,27.0,34.0,0.038,1.031,27.0,1.0,0.0,0.0,0.0,41663833.0,226.0,-45.0,-1.4100000000000037
Maverick McNealy,69.58,835,12,2022,69.33,1872,27,53.0,0.354,13.796,39.0,53.0,0.418,16.292,39.0,53.0,0.655,0.418,0.317,-0.081,39.0,70.08,841.0,12.0,53.0,-0.081,-3.155,39.0,53.0,0.317,12.378,39.0,2.0,0.0,1.0,0.0,5415606.0,70.0,-25.0,3.219999999999999
Ryan Armour,69.6,348,5,2022,70.53,1340,19,28.0,-0.032,-0.477,15.0,28.0,0.437,6.559,15.0,28.0,0.286,0.437,0.215,-0.366,15.0,70.0,350.0,5.0,28.0,-0.366,-5.492,15.0,28.0,0.215,3.221,15.0,0.0,0.0,0.0,0.0,7316190.0,317.0,-68.0,0.7300000000000004
Alex Noren,69.6,696,10,2022,69.61,1601,23,44.0,0.416,12.075,29.0,44.0,-0.006,-0.171,29.0,44.0,0.43,-0.006,0.287,0.148,29.0,69.89,629.0,9.0,44.0,0.148,4.298,29.0,44.0,0.287,8.327,29.0,2.0,0.0,0.0,0.0,9205174.0,55.0,-83.0,7.090000000000003
Patrick Reed,69.63,557,8,2022,70.76,1769,25,43.0,0.447,12.962,29.0,43.0,-0.797,-23.122,29.0,43.0,-1.336,-0.797,-0.647,0.108,29.0,70.88,567.0,8.0,43.0,0.108,3.122,29.0,43.0,-0.647,-18.757,29.0,1.0,0.0,1.0,0.0,36545952.0,31.0,-16.0,-3.5900000000000034
Cam Davis,69.67,418,6,2022,70.71,1697,24,36.0,-0.064,-2.189,34.0,36.0,-0.054,-1.83,34.0,36.0,-0.171,-0.054,-0.007,-0.111,34.0,68.83,413.0,6.0,36.0,-0.111,-3.768,34.0,36.0,-0.007,-0.222,34.0,1.0,0.0,0.0,0.0,4588481.0,95.0,-27.0,-2.8500000000000085
